lake,term,edf,ref.df,statistic,p.value,phenology
kallsjon,s(start_year),1.130878810196134,1.2498139017773116,0.7131472951872636,0.3621167606750909,ice_on
kallavesi,s(start_year),3.1878585189859194,3.9607586699199384,7.147888109732073,5.404246211299091e-5,ice_on
nasijarvi,s(start_year),2.7690574509697923,3.4468700705417605,5.763767580839194,8.043213020019202e-4,ice_on
paijanne,s(start_year),2.5616441452326537,3.190239658036264,4.814558404162626,0.003259649541501153,ice_on
haukivesi,s(start_year),2.590805636497363,3.228193974626512,2.6650123865133994,0.046701817145451074,ice_on
pielinen,s(start_year),3.242232135576137,4.028774300401748,5.727239470753466,3.666482201307164e-4,ice_on
baikal,s(start_year),1.000259789312721,1.000519530030101,11.613946895287988,9.721548434350469e-4,ice_on
yellowstone,s(start_year),1.0006179818390561,1.0012356974969299,0.2393983960632047,0.6261756120866819,ice_on
kallsjon,s(start_year),2.284476451598917,2.8486571291438665,5.395678133295045,0.0023434266707333395,ice_off
kallavesi,s(start_year),2.9325562237756806,3.648163148756203,5.881352241811325,6.225659827022167e-4,ice_off
nasijarvi,s(start_year),2.811279563520465,3.498927215761075,8.920703474924753,1.6889492757021785e-5,ice_off
paijanne,s(start_year),2.580893075688123,3.212706767032669,7.957549848573069,6.995826588607201e-5,ice_off
haukivesi,s(start_year),2.701212423316571,3.3661479756023747,10.26677195683104,4.642603943449952e-6,ice_off
pielinen,s(start_year),1.1328212466724128,1.2533164876271838,17.195516150230883,2.3025911919216657e-5,ice_off
baikal,s(start_year),6.736833773225123,7.85181303118704,3.7472333188163063,0.0010817346479470857,ice_off
yellowstone,s(start_year),1.0002778603472007,1.00055566617677,0.008074330116634562,0.9299924239091124,ice_off
kallsjon,s(start_year),1.805802748503293,2.253754827924938,2.8194642751042656,0.06023045999189808,ice_duration
kallavesi,s(start_year),3.2970536048012153,4.0937805489371675,8.706135370224821,5.3918658069473935e-6,ice_duration
nasijarvi,s(start_year),3.0879412007270304,3.8386801066015384,10.304164526026947,1.7144141469249696e-6,ice_duration
paijanne,s(start_year),2.735500417115761,3.405068040909654,8.035746950197337,5.317974591856345e-5,ice_duration
haukivesi,s(start_year),3.0004704252546035,3.7315069064208153,6.103619872237755,3.466949801025909e-4,ice_duration
pielinen,s(start_year),3.0590650283260565,3.805075177609049,7.483402923028885,5.762739828391039e-5,ice_duration
baikal,s(start_year),1.001711041296076,1.0034199752366117,5.857089548366412,0.017466571163736233,ice_duration
yellowstone,s(start_year),1.0000133523607015,1.0000267046016387,0.023423031595000057,0.8788222605223388,ice_duration
